種類,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,間取り,面積（㎡）,建築年,取引時期,取引時期（年）,築年数
中古マンション等,愛知県,名古屋市千種区,揚羽町,茶屋ケ坂,3,1900.0,３ＬＤＫ,90,1986,2021年第1四半期,2021,38
中古マンション等,愛知県,名古屋市千種区,鹿子町,本山(愛知),8,1000.0,２ＬＤＫ,65,1972,2021年第1四半期,2021,52
中古マンション等,愛知県,名古屋市千種区,鹿子町,本山(愛知),9,3300.0,３ＬＤＫ,85,2000,2021年第1四半期,2021,24
中古マンション等,愛知県,名古屋市千種区,鹿子町,本山(愛知),13,700.0,３ＬＤＫ,65,1970,2021年第1四半期,2021,54
中古マンション等,愛知県,名古屋市千種区,鹿子町,本山(愛知),7,1300.0,２ＬＤＫ,75,1980,2021年第1四半期,2021,44
中古マンション等,愛知県,名古屋市千種区,鹿子町,本山(愛知),7,4600.0,４ＬＤＫ,105,2007,2021年第1四半期,2021,17
中古マンション等,愛知県,名古屋市千種区,下方町,茶屋ケ坂,12,2900.0,４ＬＤＫ,95,1999,2021年第1四半期,2021,25
中古マンション等,愛知県,名古屋市千種区,下方町,覚王山,14,1900.0,３ＬＤＫ,75,1998,2021年第1四半期,2021,26
中古マンション等,愛知県,名古屋市千種区,汁谷町,茶屋ケ坂,7,850.0,２ＤＫ＋Ｓ,50,1974,2021年第1四半期,2021,50
中古マンション等,愛知県,名古屋市千種区,新池町,東山公園(愛知),4,4400.0,３ＬＤＫ,80,2015,2021年第1四半期,2021,9
中古マンション等,愛知県,名古屋市千種区,新池町,東山公園(愛知),4,4800.0,３ＬＤＫ,80,2015,2021年第1四半期,2021,9
中古マンション等,愛知県,名古屋市千種区,新池町,東山公園(愛知),5,4700.0,３ＬＤＫ,85,2014,2021年第1四半期,2021,10
中古マンション等,愛知県,名古屋市千種区,新池町,東山公園(愛知),2,4300.0,２ＬＤＫ,85,2007,2021年第1四半期,2021,17
中古マンション等,愛知県,名古屋市千種区,新池町,東山公園(愛知),5,4400.0,３ＬＤＫ,85,2007,2021年第1四半期,2021,17
中古マンション等,愛知県,名古屋市千種区,田代町,覚王山,12,680.0,３ＬＤＫ,65,0,2021年第1四半期,2021,2024
中古マンション等,愛知県,名古屋市千種区,猫洞通,本山(愛知),14,1800.0,２ＬＤＫ,70,1978,2021年第1四半期,2021,46
中古マンション等,愛知県,名古屋市千種区,猫洞通,,,940.0,３ＬＤＫ,75,0,2021年第1四半期,2021,2024
中古マンション等,愛知県,名古屋市千種区,春里町,本山(愛知),8,2900.0,３ＬＤＫ,85,1998,2021年第1四半期,2021,26
中古マンション等,愛知県,名古屋市千種区,御影町,茶屋ケ坂,11,900.0,３ＤＫ,60,1977,2021年第1四半期,2021,47
中古マンション等,愛知県,名古屋市千種区,御影町,茶屋ケ坂,8,3400.0,４ＬＤＫ＋Ｓ,105,1999,2021年第1四半期,2021,25
中古マンション等,愛知県,名古屋市千種区,見附町,本山(愛知),3,5000.0,２ＬＤＫ,125,2003,2021年第1四半期,2021,21
中古マンション等,愛知県,名古屋市千種区,若水,池下,13,2400.0,３ＬＤＫ,75,1981,2021年第1四半期,2021,43
中古マンション等,愛知県,名古屋市千種区,揚羽町,,,2900.0,２ＬＤＫ,80,0,2021年第2四半期,2021,2024
中古マンション等,愛知県,名古屋市千種区,揚羽町,茶屋ケ坂,9,4500.0,４ＬＤＫ,125,2005,2021年第2四半期,2021,19
中古マンション等,愛知県,名古屋市千種区,揚羽町,茶屋ケ坂,4,2600.0,５ＬＤＫ,100,1986,2021年第2四半期,2021,38
中古マンション等,愛知県,名古屋市千種区,揚羽町,茶屋ケ坂,4,2000.0,３ＬＤＫ,80,1986,2021年第2四半期,2021,38
中古マンション等,愛知県,名古屋市千種区,鹿子町,本山(愛知),8,1200.0,２ＬＤＫ,65,1972,2021年第2四半期,2021,52
中古マンション等,愛知県,名古屋市千種区,汁谷町,茶屋ケ坂,13,3600.0,３ＬＤＫ,80,2016,2021年第2四半期,2021,8
中古マンション等,愛知県,名古屋市千種区,新池町,東山公園(愛知),7,7700.0,４ＬＤＫ,105,2017,2021年第2四半期,2021,7
中古マンション等,愛知県,名古屋市千種区,新池町,東山公園(愛知),8,3900.0,３ＬＤＫ,80,2012,2021年第2四半期,2021,12
中古マンション等,愛知県,名古屋市千種区,新池町,東山公園(愛知),6,5500.0,３ＬＤＫ,95,2007,2021年第2四半期,2021,17
中古マンション等,愛知県,名古屋市千種区,新池町,東山公園(愛知),4,6000.0,３ＬＤＫ,85,2014,2021年第2四半期,2021,10
中古マンション等,愛知県,名古屋市千種区,振甫町,覚王山,14,4300.0,３ＬＤＫ,95,2014,2021年第2四半期,2021,10
中古マンション等,愛知県,名古屋市千種区,田代町,覚王山,10,4200.0,３ＬＤＫ＋Ｓ,125,1998,2021年第2四半期,2021,26
中古マンション等,愛知県,名古屋市千種区,東明町,東山公園(愛知),9,3000.0,３ＬＤＫ,85,2003,2021年第2四半期,2021,21
中古マンション等,愛知県,名古屋市千種区,東明町,東山公園(愛知),9,410.0,３ＤＫ,50,1972,2021年第2四半期,2021,52
中古マンション等,愛知県,名古屋市千種区,猫洞通,本山(愛知),15,2200.0,３ＬＤＫ,125,1972,2021年第2四半期,2021,52
中古マンション等,愛知県,名古屋市千種区,猫洞通,本山(愛知),10,1700.0,２ＬＤＫ,60,1985,2021年第2四半期,2021,39
中古マンション等,愛知県,名古屋市千種区,猫洞通,本山(愛知),13,2200.0,３ＤＫ,65,1990,2021年第2四半期,2021,34
