種類,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,間取り,面積（㎡）,建築年,取引時期,取引時期（年）,築年数
宅地(土地と建物),愛知県,名古屋市千種区,下方町,,,55000000,その他,250.0,1993年,2007年第1四半期,2007,14.0
宅地(土地と建物),愛知県,名古屋市千種区,下方町,,,1400,その他,50.0,1981年,2007年第1四半期,2007,26.0
中古マンション等,愛知県,名古屋市千種区,汁谷町,,,9900000,３ＬＤＫ,65.0,1987年,2007年第1四半期,2007,20.0
宅地(土地と建物),愛知県,名古屋市千種区,振甫町,,,43000000,その他,150.0,2007年,2007年第1四半期,2007,0.0
中古マンション等,愛知県,名古屋市千種区,東明町,,,33000000,３ＬＤＫ,75.0,2003年,2007年第1四半期,2007,4.0
宅地(土地と建物),愛知県,名古屋市千種区,仲田,,,76000000,その他,110.0,1987年,2007年第1四半期,2007,20.0
宅地(土地と建物),愛知県,名古屋市千種区,猫洞通,,,34000000,その他,135.0,1988年,2007年第1四半期,2007,19.0
宅地(土地と建物),愛知県,名古屋市千種区,見附町,,,70000000,その他,290.0,1980年,2007年第1四半期,2007,27.0
中古マンション等,愛知県,名古屋市千種区,若水,,,14000000,４ＬＤＫ,85.0,1981年,2007年第1四半期,2007,26.0
中古マンション等,愛知県,名古屋市千種区,若水,,,14000000,３ＬＤＫ,75.0,1981年,2007年第1四半期,2007,26.0
宅地(土地と建物),愛知県,名古屋市千種区,桜が丘,,,220000000,その他,400.0,1986年,2007年第1四半期,2007,21.0
中古マンション等,愛知県,名古屋市千種区,千代田橋,,,27000000,４ＬＤＫ,85.0,2002年,2007年第1四半期,2007,5.0
宅地(土地と建物),愛知県,名古屋市千種区,星が丘元町,,,620000000,その他,450.0,1986年,2007年第1四半期,2007,21.0
宅地(土地と建物),愛知県,名古屋市千種区,宮根台,,,39000000,その他,350.0,1980年,2007年第1四半期,2007,27.0
宅地(土地と建物),愛知県,名古屋市千種区,今池,,,36000000,その他,95.0,1969年,2007年第1四半期,2007,38.0
宅地(土地と建物),愛知県,名古屋市千種区,今池,,,45000000,その他,55.0,2005年,2007年第1四半期,2007,2.0
宅地(土地と建物),愛知県,名古屋市千種区,今池,,,36000000,その他,130.0,1964年,2007年第1四半期,2007,43.0
中古マンション等,愛知県,名古屋市千種区,内山,,,11000000,３ＬＤＫ,60.0,1979年,2007年第1四半期,2007,28.0
中古マンション等,愛知県,名古屋市千種区,内山,,,14000000,その他,55.0,1980年,2007年第1四半期,2007,27.0
中古マンション等,愛知県,名古屋市千種区,内山,,,13000000,３ＬＤＫ,65.0,1980年,2007年第1四半期,2007,27.0
宅地(土地と建物),愛知県,名古屋市千種区,内山,,,46000000,その他,120.0,1988年,2007年第1四半期,2007,19.0
中古マンション等,愛知県,名古屋市千種区,内山,,,4600000,１Ｋ,20.0,1986年,2007年第1四半期,2007,21.0
中古マンション等,愛知県,名古屋市千種区,内山,,,13000000,２ＬＤＫ,50.0,1980年,2007年第1四半期,2007,27.0
中古マンション等,愛知県,名古屋市千種区,鹿子殿,,,13000000,２ＬＤＫ,55.0,1972年,2007年第1四半期,2007,35.0
宅地(土地と建物),愛知県,名古屋市千種区,幸川町,,,43000000,その他,120.0,1990年,2007年第1四半期,2007,17.0
中古マンション等,愛知県,名古屋市千種区,向陽,,,7700000,３ＬＤＫ,60.0,1974年,2007年第1四半期,2007,33.0
宅地(土地と建物),愛知県,名古屋市千種区,松軒,,,27000000,その他,145.0,1997年,2007年第1四半期,2007,10.0
宅地(土地と建物),愛知県,名古屋市千種区,松軒,,,26000000,その他,145.0,1956年,2007年第1四半期,2007,51.0
中古マンション等,愛知県,名古屋市千種区,城木町,,,25000000,３ＬＤＫ,75.0,1999年,2007年第1四半期,2007,8.0
中古マンション等,愛知県,名古屋市千種区,月見坂町,,,47000000,４ＬＤＫ,90.0,2006年,2007年第1四半期,2007,1.0
中古マンション等,愛知県,名古屋市千種区,堀割町,,,26000000,３ＬＤＫ,70.0,1995年,2007年第1四半期,2007,12.0
宅地(土地と建物),愛知県,名古屋市千種区,赤坂町,,,50000000,その他,130.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),愛知県,名古屋市千種区,池上町,,,59000000,その他,155.0,2007年,2007年第1四半期,2007,0.0
中古マンション等,愛知県,名古屋市千種区,今池南,,,26000000,４ＬＤＫ,85.0,2003年,2007年第1四半期,2007,4.0
宅地(土地と建物),愛知県,名古屋市千種区,鏡池通,,,50000000,その他,95.0,1991年,2007年第1四半期,2007,16.0
中古マンション等,愛知県,名古屋市千種区,清住町,,,39000000,３ＬＤＫ,80.0,2004年,2007年第1四半期,2007,3.0
宅地(土地と建物),愛知県,名古屋市千種区,田代本通,,,60000000,その他,190.0,1990年,2007年第1四半期,2007,17.0
中古マンション等,愛知県,名古屋市千種区,千種,,,23000000,３ＬＤＫ,65.0,2003年,2007年第1四半期,2007,4.0
中古マンション等,愛知県,名古屋市千種区,茶屋坂通,,,16000000,３ＬＤＫ,60.0,1994年,2007年第1四半期,2007,13.0
宅地(土地と建物),愛知県,名古屋市東区,徳川,,,980000000,その他,1200.0,2006年,2007年第1四半期,2007,1.0
宅地(土地と建物),愛知県,名古屋市東区,砂田橋,,,310000000,その他,9999.0, ,2007年第1四半期,2007,
宅地(土地と建物),愛知県,名古屋市東区,大幸,,,38000000,その他,75.0,2007年,2007年第1四半期,2007,0.0
中古マンション等,愛知県,名古屋市東区,出来町,,,3500000,１Ｋ,15.0,1989年,2007年第1四半期,2007,18.0
中古マンション等,愛知県,名古屋市東区,出来町,,,3000000,１Ｋ,15.0,1989年,2007年第1四半期,2007,18.0
中古マンション等,愛知県,名古屋市東区,出来町,,,32000000,その他,115.0,1990年,2007年第1四半期,2007,17.0
中古マンション等,愛知県,名古屋市東区,出来町,,,3500000,１Ｋ,15.0,1989年,2007年第1四半期,2007,18.0
中古マンション等,愛知県,名古屋市東区,出来町,,,29000000,３ＬＤＫ,105.0,1990年,2007年第1四半期,2007,17.0
