種類,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,間取り,面積（㎡）,建築年,取引時期,取引時期（年）,築年数
宅地(土地と建物),千葉県,千葉市中央区,今井町,,,130000000,その他,220.0,1989年,2007年第1四半期,2007,18.0
中古マンション等,千葉県,千葉市中央区,今井町,,,14000000,３ＬＤＫ,55.0,1996年,2007年第1四半期,2007,11.0
中古マンション等,千葉県,千葉市中央区,今井町,,,3700000,１Ｋ,25.0,1984年,2007年第1四半期,2007,23.0
宅地(土地と建物),千葉県,千葉市中央区,今井町,,,4500000,その他,35.0,1955年,2007年第1四半期,2007,52.0
中古マンション等,千葉県,千葉市中央区,鵜の森町,,,16000000,３ＬＤＫ,55.0,1996年,2007年第1四半期,2007,11.0
中古マンション等,千葉県,千葉市中央区,鵜の森町,,,10000000,３ＬＤＫ,65.0,1996年,2007年第1四半期,2007,11.0
宅地(土地と建物),千葉県,千葉市中央区,新宿,,,34000000,その他,185.0,1969年,2007年第1四半期,2007,38.0
中古マンション等,千葉県,千葉市中央区,新宿,,,16000000,３ＬＤＫ,60.0,1995年,2007年第1四半期,2007,12.0
中古マンション等,千葉県,千葉市中央区,千葉寺町,,,18000000,３ＬＤＫ,70.0,2002年,2007年第1四半期,2007,5.0
宅地(土地と建物),千葉県,千葉市中央区,千葉寺町,,,69000000,その他,230.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),千葉県,千葉市中央区,千葉寺町,,,42000000,その他,100.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),千葉県,千葉市中央区,鶴沢町,,,42000000,その他,220.0,1991年,2007年第1四半期,2007,16.0
宅地(土地と建物),千葉県,千葉市中央区,鶴沢町,,,6700000,その他,60.0,1978年,2007年第1四半期,2007,29.0
中古マンション等,千葉県,千葉市中央区,出洲港,,,9900000,２ＬＤＫ,55.0,1995年,2007年第1四半期,2007,12.0
中古マンション等,千葉県,千葉市中央区,出洲港,,,7200000,３ＬＤＫ,65.0,1995年,2007年第1四半期,2007,12.0
中古マンション等,千葉県,千葉市中央区,登戸,,,44000000,４ＬＤＫ,145.0,1989年,2007年第1四半期,2007,18.0
