種類,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,間取り,面積（㎡）,建築年,取引時期,取引時期（年）,築年数
中古マンション等,大阪府,大阪市都島区,網島町,大阪城北詰,5,1300.0,２ＬＤＫ,55,1980,2021年第1四半期,2021,44
中古マンション等,大阪府,大阪市都島区,内代町,野江内代,3,3700.0,３ＬＤＫ,75,2000,2021年第1四半期,2021,24
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,,4900.0,３ＬＤＫ,85,2006,2021年第1四半期,2021,18
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,5,4100.0,３ＬＤＫ,75,2007,2021年第1四半期,2021,17
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,5,6200.0,４ＬＤＫ＋Ｓ,115,2006,2021年第1四半期,2021,18
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,5,3800.0,３ＬＤＫ,70,2007,2021年第1四半期,2021,17
中古マンション等,大阪府,大阪市都島区,都島北通,野江内代,7,3100.0,２ＬＤＫ,75,2004,2021年第1四半期,2021,20
中古マンション等,大阪府,大阪市都島区,網島町,大阪城北詰,4,1400.0,４ＬＤＫ,80,1980,2021年第2四半期,2021,44
中古マンション等,大阪府,大阪市都島区,内代町,野江内代,5,3400.0,３ＬＤＫ,60,2018,2021年第2四半期,2021,6
中古マンション等,大阪府,大阪市都島区,内代町,,,890.0,３ＤＫ,65,0,2021年第2四半期,2021,2024
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,3,4300.0,３ＬＤＫ,70,2010,2021年第2四半期,2021,14
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,6,3800.0,２ＬＤＫ,65,2012,2021年第2四半期,2021,12
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,3,4200.0,２ＬＤＫ,65,2012,2021年第2四半期,2021,12
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,5,4000.0,２ＬＤＫ＋Ｓ,75,2006,2021年第2四半期,2021,18
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,3,5100.0,３ＬＤＫ,90,2010,2021年第2四半期,2021,14
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,5,4400.0,３ＬＤＫ,85,2006,2021年第2四半期,2021,18
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,5,4000.0,３ＬＤＫ,75,2007,2021年第2四半期,2021,17
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,3,4900.0,３ＬＤＫ,80,2012,2021年第2四半期,2021,12
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,3,4600.0,３ＬＤＫ,80,2010,2021年第2四半期,2021,14
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,3,4900.0,３ＬＤＫ,80,2012,2021年第2四半期,2021,12
中古マンション等,大阪府,大阪市都島区,都島北通,都島,2,2200.0,１Ｒ,65,2000,2021年第2四半期,2021,24
中古マンション等,大阪府,大阪市都島区,都島北通,野江内代,5,3700.0,３ＬＤＫ,70,2012,2021年第2四半期,2021,12
中古マンション等,大阪府,大阪市都島区,都島北通,都島,1,2400.0,２ＬＤＫ,65,2000,2021年第2四半期,2021,24
中古マンション等,大阪府,大阪市都島区,都島本通,都島,8,4500.0,３ＬＤＫ,80,2018,2021年第2四半期,2021,6
中古マンション等,大阪府,大阪市都島区,都島本通,都島,9,3300.0,２ＬＤＫ,60,2018,2021年第2四半期,2021,6
中古マンション等,大阪府,大阪市都島区,都島本通,都島,9,3800.0,３ＬＤＫ,65,2018,2021年第2四半期,2021,6
中古マンション等,大阪府,大阪市都島区,都島本通,都島,9,5000.0,３ＬＤＫ,90,2018,2021年第2四半期,2021,6
中古マンション等,大阪府,大阪市都島区,網島町,京橋(大阪),7,1700.0,２ＬＤＫ,60,1980,2021年第3四半期,2021,44
中古マンション等,大阪府,大阪市都島区,善源寺町,都島,3,4400.0,２ＬＤＫ,75,2010,2021年第3四半期,2021,14
