種類,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,間取り,面積（㎡）,建築年,取引時期,取引時期（年）,築年数
宅地(土地と建物),埼玉県,さいたま市西区,塚本町,,,20000000,その他,460.0,1986年,2007年第1四半期,2007,21.0
宅地(土地と建物),埼玉県,さいたま市西区,大字二ツ宮,,,25000000,その他,120.0,2006年,2007年第1四半期,2007,1.0
宅地(土地と建物),埼玉県,さいたま市西区,大字水判土,,,20000000,その他,210.0,1970年,2007年第1四半期,2007,37.0
宅地(土地と建物),埼玉県,さいたま市西区,大字佐知川,,,35000000,その他,110.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),埼玉県,さいたま市西区,大字島根,,,36000000,その他,155.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),埼玉県,さいたま市西区,大字島根,,,60000000,その他,1100.0,1971年,2007年第1四半期,2007,36.0
宅地(土地と建物),埼玉県,さいたま市西区,大字島根,,,40000000,その他,155.0,1997年,2007年第1四半期,2007,10.0
宅地(土地と建物),埼玉県,さいたま市西区,大字土屋,,,16000000,その他,120.0,1971年,2007年第1四半期,2007,36.0
宅地(土地と建物),埼玉県,さいたま市西区,大字土屋,,,39000000,その他,260.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),埼玉県,さいたま市西区,プラザ,,,30000000,その他,150.0,1991年,2007年第1四半期,2007,16.0
宅地(土地と建物),埼玉県,さいたま市西区,大字内野本郷,,,12000000,その他,100.0,1993年,2007年第1四半期,2007,14.0
宅地(土地と建物),埼玉県,さいたま市西区,大字内野本郷,,,33000000,その他,130.0,2006年,2007年第1四半期,2007,1.0
宅地(土地と建物),埼玉県,さいたま市西区,大字指扇,,,34000000,その他,400.0,1995年,2007年第1四半期,2007,12.0
中古マンション等,埼玉県,さいたま市西区,大字指扇,,,16000000,３ＬＤＫ,75.0,1990年,2007年第1四半期,2007,17.0
宅地(土地と建物),埼玉県,さいたま市西区,大字指扇,,,20000000,その他,100.0,1993年,2007年第1四半期,2007,14.0
宅地(土地と建物),埼玉県,さいたま市西区,大字指扇,,,14000000,その他,115.0,1992年,2007年第1四半期,2007,15.0
宅地(土地と建物),埼玉県,さいたま市西区,大字指扇,,,6000000,その他,165.0,1987年,2007年第1四半期,2007,20.0
宅地(土地と建物),埼玉県,さいたま市西区,大字指扇,,,30000000,その他,100.0,2006年,2007年第1四半期,2007,1.0
宅地(土地と建物),埼玉県,さいたま市西区,大字指扇,,,12000000,その他,100.0,1972年,2007年第1四半期,2007,35.0
宅地(土地と建物),埼玉県,さいたま市西区,大字指扇,,,37000000,その他,110.0,2007年,2007年第1四半期,2007,0.0
中古マンション等,埼玉県,さいたま市西区,大字指扇領別所,,,13000000,３ＬＤＫ,70.0,1986年,2007年第1四半期,2007,21.0
中古マンション等,埼玉県,さいたま市西区,大字指扇領別所,,,12000000,３ＬＤＫ,65.0,1986年,2007年第1四半期,2007,21.0
中古マンション等,埼玉県,さいたま市西区,大字指扇領別所,,,9700000,２ＬＤＫ,65.0,1986年,2007年第1四半期,2007,21.0
中古マンション等,埼玉県,さいたま市西区,大字高木,,,38000000,４ＬＤＫ,190.0,1993年,2007年第1四半期,2007,14.0
宅地(土地と建物),埼玉県,さいたま市西区,大字中釘,,,15000000,その他,210.0,1978年,2007年第1四半期,2007,29.0
中古マンション等,埼玉県,さいたま市西区,三橋,,,19000000,４ＬＤＫ,90.0,1989年,2007年第1四半期,2007,18.0
宅地(土地と建物),埼玉県,さいたま市西区,三橋,,,5000000,その他,390.0,1971年,2007年第1四半期,2007,36.0
宅地(土地と建物),埼玉県,さいたま市西区,三橋,,,28000000,その他,115.0,2007年,2007年第1四半期,2007,0.0
中古マンション等,埼玉県,さいたま市北区,土呂町,,,31000000,３ＬＤＫ,70.0,2000年,2007年第1四半期,2007,7.0
宅地(土地と建物),埼玉県,さいたま市北区,土呂町,,,38000000,その他,130.0,2006年,2007年第1四半期,2007,1.0
宅地(土地と建物),埼玉県,さいたま市北区,今羽町,,,19000000,その他,105.0,1991年,2007年第1四半期,2007,16.0
宅地(土地と建物),埼玉県,さいたま市北区,今羽町,,,50000000,その他,165.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),埼玉県,さいたま市北区,奈良町,,,32000000,その他,115.0,2006年,2007年第1四半期,2007,1.0
宅地(土地と建物),埼玉県,さいたま市北区,奈良町,,,40000000,その他,300.0,1967年,2007年第1四半期,2007,40.0
中古マンション等,埼玉県,さいたま市北区,奈良町,,,7500000,３ＬＤＫ,70.0,1977年,2007年第1四半期,2007,30.0
宅地(土地と建物),埼玉県,さいたま市北区,奈良町,,,27000000,その他,130.0,2006年,2007年第1四半期,2007,1.0
宅地(土地と建物),埼玉県,さいたま市北区,日進町,,,54000000,その他,110.0,2006年,2007年第1四半期,2007,1.0
宅地(土地と建物),埼玉県,さいたま市北区,日進町,,,21000000,その他,105.0,1990年,2007年第1四半期,2007,17.0
中古マンション等,埼玉県,さいたま市北区,日進町,,,15000000,３ＬＤＫ,60.0,1991年,2007年第1四半期,2007,16.0
中古マンション等,埼玉県,さいたま市北区,日進町,,,15000000,３ＬＤＫ,60.0,1993年,2007年第1四半期,2007,14.0
中古マンション等,埼玉県,さいたま市北区,日進町,,,17000000,３ＬＤＫ,60.0,1993年,2007年第1四半期,2007,14.0
中古マンション等,埼玉県,さいたま市北区,日進町,,,9300000,２ＬＤＫ,55.0,1988年,2007年第1四半期,2007,19.0
中古マンション等,埼玉県,さいたま市北区,日進町,,,16000000,３ＬＤＫ,65.0,1995年,2007年第1四半期,2007,12.0
中古マンション等,埼玉県,さいたま市北区,日進町,,,17000000,３ＬＤＫ,65.0,1994年,2007年第1四半期,2007,13.0
宅地(土地と建物),埼玉県,さいたま市北区,日進町,,,31000000,その他,85.0,1989年,2007年第1四半期,2007,18.0
宅地(土地と建物),埼玉県,さいたま市北区,日進町,,,25000000,その他,60.0,2001年,2007年第1四半期,2007,6.0
宅地(土地と建物),埼玉県,さいたま市北区,日進町,,,26000000,その他,105.0,1990年,2007年第1四半期,2007,17.0
宅地(土地と建物),埼玉県,さいたま市北区,日進町,,,29000000,その他,155.0,1957年,2007年第1四半期,2007,50.0
宅地(土地と建物),埼玉県,さいたま市北区,日進町,,,43000000,その他,310.0,1991年,2007年第1四半期,2007,16.0
宅地(土地と建物),埼玉県,さいたま市北区,別所町,,,39000000,その他,180.0,1997年,2007年第1四半期,2007,10.0
宅地(土地と建物),埼玉県,さいたま市北区,別所町,,,44000000,その他,165.0,2007年,2007年第1四半期,2007,0.0
中古マンション等,埼玉県,さいたま市北区,宮原町,,,22000000,３ＬＤＫ,65.0,2000年,2007年第1四半期,2007,7.0
中古マンション等,埼玉県,さいたま市北区,宮原町,,,18000000,３ＬＤＫ,65.0,1995年,2007年第1四半期,2007,12.0
宅地(土地と建物),埼玉県,さいたま市北区,宮原町,,,260000000,その他,530.0,1991年,2007年第1四半期,2007,16.0
宅地(土地と建物),埼玉県,さいたま市北区,宮原町,,,42000000,その他,80.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),埼玉県,さいたま市北区,宮原町,,,42000000,その他,80.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),埼玉県,さいたま市北区,宮原町,,,3200000,その他,135.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),埼玉県,さいたま市北区,宮原町,,,41000000,その他,130.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),埼玉県,さいたま市北区,宮原町,,,40000000,その他,150.0,2007年,2007年第1四半期,2007,0.0
宅地(土地と建物),埼玉県,さいたま市北区,櫛引町,,,19000000,その他,70.0,1993年,2007年第1四半期,2007,14.0
宅地(土地と建物),埼玉県,さいたま市北区,櫛引町,,,44000000,その他,125.0,2005年,2007年第1四半期,2007,2.0
中古マンション等,埼玉県,さいたま市北区,櫛引町,,,17000000,３ＬＤＫ,65.0,2000年,2007年第1四半期,2007,7.0
宅地(土地と建物),埼玉県,さいたま市北区,東大成町,,,71000000,その他,360.0,1993年,2007年第1四半期,2007,14.0
宅地(土地と建物),埼玉県,さいたま市北区,本郷町,,,35000000,その他,120.0,2007年,2007年第1四半期,2007,0.0
